# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0118913     	-8.028114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0121047     	-8.229458e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0123181     	-8.257311e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0125315     	-8.344957e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0127511     	-8.318736e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0129708     	-8.374153e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0131905     	-8.379631e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0134101     	-8.478762e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0136298     	-8.524230e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0138495     	-8.674486e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0140691     	-8.746597e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0142888     	-8.959794e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0145084     	-8.986032e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0147281     	-9.173371e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0149478     	-9.137220e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0151674     	-9.205084e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0153871     	-9.090893e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0156068     	-9.057978e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0158264     	-8.968731e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0160461     	-8.957805e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0162657     	-8.922837e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0164854     	-8.987616e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0167051     	-8.935307e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0169247     	-9.044373e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0171444     	-8.863528e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0173641     	-8.953571e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0175837     	-8.595706e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0178034     	-8.716741e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.018023      	-8.116280e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0182427     	-8.422239e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0184624     	-7.530965e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.018682      	-8.206288e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0189017     	-6.974538e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0191214     	-7.959541e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.019341      	-6.463569e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0195607     	-7.629443e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0197803     	-5.915754e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02          	-7.235583e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0202381     	-5.236317e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0204762     	-6.944765e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0207143     	-4.506172e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0209524     	-6.675234e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0211905     	-3.755672e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0214286     	-6.385141e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0216667     	-2.959714e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0218981     	-5.952268e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0221296     	-2.381626e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0223611     	-5.528625e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0225926     	-1.808798e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0228241     	-5.216549e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0230556     	-1.230261e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.023287      	-3.936080e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0235185     	-1.412381e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02375       	-3.416121e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0239815     	-1.581721e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.024213      	-2.932638e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0244355     	-1.403163e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0246581     	-2.601002e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0248807     	-1.333981e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0251033     	-2.363568e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0253259     	-1.232356e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
