# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.835961e-02	7.328072e-02	-2.311618e-04	2.824403e-02	-2.847519e-02
1             	3.710672e+01	8.212706e+01	-4.787139e+00	3.471315e+01	-3.950029e+01
2             	3.979869e+01	8.793173e+01	-5.193806e+00	3.720178e+01	-4.239559e+01
3             	2.287654e+01	5.011715e+01	-3.067641e+00	2.134272e+01	-2.441036e+01
